product_id,name,category,price,sku
83,Government Fact,Sports,59.81,SKU-000083
84,Long Professor,Home,153.14,SKU-000084
85,Simply Must,Electronics,6.35,SKU-000085
86,Remember Standard,Books,52.07,SKU-000086
87,Back Seat,Clothing,32.92,SKU-000087
88,Rise Forward,Electronics,53.18,SKU-000088
89,Wait Window,Electronics,24.07,SKU-000089
90,American Lead,Electronics,39.56,SKU-000090
91,Black Work,Electronics,23.1,SKU-000091
92,Season Study,Clothing,7.59,SKU-000092
93,Near Friend,Clothing,36.15,SKU-000093
94,Customer Thought,Home,9.36,SKU-000094
95,Open Recent,Books,37.19,SKU-000095
96,Third Understand,Sports,55.41,SKU-000096
97,Produce Also,Clothing,10.03,SKU-000097
98,Protect Product,Books,22.57,SKU-000098
99,Across Else,Home,40.57,SKU-000099
100,Certain Peace,Clothing,16.58,SKU-000100
101,However Turn,Sports,179.03,SKU-000101
102,Yes Discussion,Toys,21.65,SKU-000102
103,Report Deal,Home,9.3,SKU-000103
104,Evidence Many,Electronics,43.89,SKU-000104
105,Civil Memory,Clothing,18.19,SKU-000105
106,Teach Culture,Beauty,36.32,SKU-000106
107,Similar Model,Beauty,13.99,SKU-000107
108,Fear Catch,Books,37.4,SKU-000108
109,Decide Prove,Sports,9.58,SKU-000109
110,Type Behavior,Toys,13.32,SKU-000110
111,Name Tough,Beauty,33.25,SKU-000111
112,Several So,Electronics,82.3,SKU-000112
113,Difficult About,Clothing,46.8,SKU-000113
114,Leader Audience,Sports,20.93,SKU-000114
115,Military Open,Clothing,9.33,SKU-000115
116,Popular Detail,Home,60.68,SKU-000116
117,See Could,Sports,25.62,SKU-000117
118,American Kid,Beauty,24.67,SKU-000118
119,Rise Everyone,Toys,63.43,SKU-000119
120,Positive Husband,Clothing,20.2,SKU-000120
121,Program Past,Clothing,24.19,SKU-000121
122,Easy Pull,Books,23.13,SKU-000122
123,Happy Member,Books,22.92,SKU-000123
124,Nice Realize,Electronics,10.13,SKU-000124
125,Couple Understand,Toys,4.8,SKU-000125
126,First Though,Clothing,26.73,SKU-000126
127,Each Type,Electronics,9.83,SKU-000127
128,Final Relate,Toys,15.37,SKU-000128
129,Memory Might,Sports,31.18,SKU-000129
130,Style Professor,Electronics,7.27,SKU-000130
131,Including Piece,Electronics,135.81,SKU-000131
132,Heavy Of,Clothing,87.77,SKU-000132
133,Medical Find,Clothing,20.33,SKU-000133
134,Big Discuss,Books,28.61,SKU-000134
135,Budget Upon,Sports,14.08,SKU-000135
136,Watch Someone,Electronics,5.28,SKU-000136
137,South Field,Electronics,10.83,SKU-000137
138,Kind Likely,Electronics,75.87,SKU-000138
139,Gas End,Electronics,25.9,SKU-000139
140,Recognize Large,Clothing,5.53,SKU-000140
141,Business Control,Clothing,27.16,SKU-000141
142,Majority From,Clothing,75.27,SKU-000142
143,Recent Build,Books,11.19,SKU-000143
144,Hand Same,Sports,7.21,SKU-000144
145,Information Sea,Electronics,16.61,SKU-000145
146,Career Staff,Electronics,89.8,SKU-000146
147,Us Member,Toys,7.13,SKU-000147
148,Though Support,Books,18.47,SKU-000148
149,Treat Middle,Books,69.02,SKU-000149
150,Plant Its,Electronics,57.89,SKU-000150
151,Right Easy,Books,21.05,SKU-000151
152,Air Fill,Sports,131.42,SKU-000152
153,Executive Movement,Clothing,17.08,SKU-000153
154,Dinner Voice,Clothing,21.09,SKU-000154
155,Today Stay,Beauty,4.4,SKU-000155
156,Issue Ask,Clothing,55.95,SKU-000156
157,Or Sport,Toys,34.8,SKU-000157
158,Future Every,Books,21.26,SKU-000158
159,Republican Friend,Beauty,13.61,SKU-000159
160,Its Include,Home,23.71,SKU-000160
161,Table Letter,Sports,12.21,SKU-000161
162,Large Inside,Clothing,15.11,SKU-000162
163,Ever While,Clothing,26.83,SKU-000163
164,Arm Executive,Sports,31.98,SKU-000164
165,Mention Should,Home,31.23,SKU-000165
166,Discuss Group,Sports,11.38,SKU-000166
167,Provide Tell,Beauty,4.81,SKU-000167
168,Answer Foot,Sports,7.57,SKU-000168
169,Line It,Books,69.57,SKU-000169
170,Do Page,Sports,14.13,SKU-000170
171,Type Compare,Electronics,20.28,SKU-000171
172,North Design,Sports,42.3,SKU-000172
173,State Process,Books,16.59,SKU-000173
174,Break Yourself,Electronics,39.77,SKU-000174
175,Positive Popular,Beauty,16.17,SKU-000175
176,Girl Carry,Beauty,12.3,SKU-000176
177,Point Notice,Beauty,92.75,SKU-000177
178,Again Seven,Toys,47.1,SKU-000178
179,Against Suffer,Home,52.66,SKU-000179
180,Hundred Believe,Sports,7.71,SKU-000180
181,Statement Sea,Sports,11.48,SKU-000181
182,Goal While,Toys,19.94,SKU-000182
183,Head Speak,Toys,15.69,SKU-000183
184,Space On,Electronics,38.21,SKU-000184
185,At Real,Electronics,32.82,SKU-000185
186,Appear Natural,Electronics,59.52,SKU-000186
187,Develop High,Electronics,14.2,SKU-000187
188,North Decide,Sports,23.64,SKU-000188
189,Close This,Clothing,50.58,SKU-000189
190,North Individual,Beauty,13.71,SKU-000190
191,Trade Serious,Beauty,11.81,SKU-000191
192,Drop Fill,Electronics,59.63,SKU-000192
193,Suddenly Color,Sports,3.94,SKU-000193
194,Whether Hour,Beauty,70.53,SKU-000194
195,Glass Job,Electronics,15.77,SKU-000195
196,Dinner On,Toys,20.01,SKU-000196
197,Significant Energy,Electronics,55.53,SKU-000197
198,Yard Add,Clothing,37.21,SKU-000198
199,Also Through,Beauty,6.32,SKU-000199
200,Again Someone,Sports,10.22,SKU-000200
